Time,X,Y,Z
1.73444e+09,-14.0554,-4.00012,-1.98413
1.73444e+09,-14.0554,-4.00012,-1.98413
1.73444e+09,-14.0554,-4.00012,-1.98413
1.73444e+09,-14.0554,-4.00012,-1.98413
1.73444e+09,-14.0554,-4.00012,-1.98413
1.73444e+09,-14.0554,-4.00012,-1.98413
1.73444e+09,-14.0554,-4.00012,-1.98413
1.73444e+09,-14.0554,-4.00012,-1.98413
1.73444e+09,-14.0554,-4.00012,-1.98413
1.73444e+09,-14.0549,-4.00012,-1.98407
1.73444e+09,-14.0491,-4.0001,-1.98349
1.73444e+09,-14.0371,-4.00006,-1.98227
1.73444e+09,-14.0189,-4.00001,-1.98042
1.73444e+09,-13.995,-3.99994,-1.97799
1.73444e+09,-13.9701,-3.99986,-1.97545
1.73444e+09,-13.9453,-3.99979,-1.97289
1.73444e+09,-13.9204,-3.99971,-1.97029
1.73444e+09,-13.8955,-3.99964,-1.96768
1.73444e+09,-13.8707,-3.99957,-1.96507
1.73444e+09,-13.8458,-3.99949,-1.96243
1.73444e+09,-13.8209,-3.99942,-1.95975
1.73444e+09,-13.7961,-3.99935,-1.95707
1.73444e+09,-13.7712,-3.99928,-1.95438
1.73444e+09,-13.7464,-3.99921,-1.95167
1.73444e+09,-13.7216,-3.99913,-1.94891
1.73444e+09,-13.6967,-3.99906,-1.94615
1.73444e+09,-13.6719,-3.99899,-1.94337
1.73444e+09,-13.647,-3.99892,-1.94059
1.73444e+09,-13.6222,-3.99885,-1.93775
1.73444e+09,-13.5974,-3.99878,-1.9349
1.73444e+09,-13.5725,-3.99872,-1.93205
1.73444e+09,-13.5477,-3.99865,-1.92919
1.73444e+09,-13.5229,-3.99858,-1.92627
1.73444e+09,-13.498,-3.99852,-1.92334
1.73444e+09,-13.4732,-3.99845,-1.92041
1.73444e+09,-13.4484,-3.99839,-1.91746
1.73444e+09,-13.4236,-3.99832,-1.91446
1.73444e+09,-13.3988,-3.99826,-1.91146
1.73444e+09,-13.374,-3.9982,-1.90844
1.73444e+09,-13.3491,-3.99813,-1.90541
1.73444e+09,-13.3243,-3.99807,-1.90233
1.73444e+09,-13.2995,-3.99801,-1.89924
1.73444e+09,-13.2747,-3.99795,-1.89614
1.73444e+09,-13.2499,-3.99789,-1.89303
1.73444e+09,-13.2251,-3.99783,-1.88986
1.73444e+09,-13.2004,-3.99777,-1.88668
1.73444e+09,-13.1756,-3.99772,-1.8835
1.73444e+09,-13.1508,-3.99766,-1.88031
1.73444e+09,-13.126,-3.9976,-1.87705
1.73444e+09,-13.1012,-3.99755,-1.87379
1.73444e+09,-13.0764,-3.99749,-1.87052
1.73444e+09,-13.0516,-3.99744,-1.86724
1.73444e+09,-13.0269,-3.99739,-1.8639
1.73444e+09,-13.0021,-3.99734,-1.86055
1.73444e+09,-12.9773,-3.99729,-1.85719
1.73444e+09,-12.9526,-3.99724,-1.85383
1.73444e+09,-12.9278,-3.99719,-1.8504
1.73444e+09,-12.9031,-3.99714,-1.84697
1.73444e+09,-12.8783,-3.99709,-1.84352
1.73444e+09,-12.8536,-3.99705,-1.84007
1.73444e+09,-12.8288,-3.997,-1.83656
1.73444e+09,-12.8041,-3.99696,-1.83303
1.73444e+09,-12.7793,-3.99691,-1.8295
1.73444e+09,-12.7546,-3.99687,-1.82596
1.73444e+09,-12.7299,-3.99683,-1.82235
1.73444e+09,-12.7051,-3.99679,-1.81874
1.73444e+09,-12.6804,-3.99675,-1.81511
1.73444e+09,-12.6557,-3.99671,-1.81148
1.73444e+09,-12.6309,-3.99667,-1.80779
1.73444e+09,-12.6062,-3.99664,-1.80409
1.73444e+09,-12.5815,-3.9966,-1.80037
1.73444e+09,-12.5568,-3.99656,-1.79665
1.73444e+09,-12.5321,-3.99653,-1.79287
1.73444e+09,-12.5074,-3.9965,-1.78907
1.73444e+09,-12.4827,-3.99646,-1.78526
1.73444e+09,-12.458,-3.99643,-1.78145
1.73444e+09,-12.4333,-3.9964,-1.77758
1.73444e+09,-12.4086,-3.99637,-1.77369
1.73444e+09,-12.3839,-3.99635,-1.76979
1.73444e+09,-12.3592,-3.99632,-1.76588
1.73444e+09,-12.3346,-3.99629,-1.76192
1.73444e+09,-12.3099,-3.99627,-1.75794
1.73444e+09,-12.2852,-3.99625,-1.75395
1.73444e+09,-12.2606,-3.99622,-1.74995
1.73444e+09,-12.2359,-3.9962,-1.7459
1.73444e+09,-12.2112,-3.99618,-1.74182
1.73444e+09,-12.1866,-3.99616,-1.73773
1.73444e+09,-12.1619,-3.99614,-1.73364
1.73444e+09,-12.1373,-3.99613,-1.72949
1.73444e+09,-12.1126,-3.99611,-1.72533
1.73444e+09,-12.088,-3.9961,-1.72114
1.73444e+09,-12.0634,-3.99608,-1.71695
1.73444e+09,-12.0387,-3.99607,-1.71272
1.73444e+09,-12.0141,-3.99606,-1.70845
1.73444e+09,-11.9895,-3.99605,-1.70418
1.73444e+09,-11.9649,-3.99604,-1.69989
1.73444e+09,-11.9402,-3.99603,-1.69556
1.73444e+09,-11.9156,-3.99603,-1.6912
1.73444e+09,-11.891,-3.99602,-1.68683
1.73444e+09,-11.8664,-3.99602,-1.68245
1.73444e+09,-11.8418,-3.99602,-1.67803
1.73444e+09,-11.8172,-3.99602,-1.67357
1.73444e+09,-11.7926,-3.99602,-1.6691
1.73444e+09,-11.7681,-3.99602,-1.66462
1.73444e+09,-11.7435,-3.99602,-1.66012
1.73444e+09,-11.7189,-3.99603,-1.65556
1.73444e+09,-11.6943,-3.99603,-1.65099
1.73444e+09,-11.6698,-3.99604,-1.64642
1.73444e+09,-11.6452,-3.99605,-1.64182
1.73444e+09,-11.6207,-3.99606,-1.63716
1.73444e+09,-11.5961,-3.99607,-1.6325
1.73444e+09,-11.5715,-3.99608,-1.62783
1.73444e+09,-11.547,-3.99609,-1.62313
1.73444e+09,-11.5225,-3.99611,-1.61838
1.73444e+09,-11.4979,-3.99612,-1.61363
1.73444e+09,-11.4734,-3.99614,-1.60886
1.73444e+09,-11.4489,-3.99616,-1.60407
1.73444e+09,-11.4244,-3.99618,-1.59922
1.73444e+09,-11.3998,-3.9962,-1.59437
1.73444e+09,-11.3753,-3.99623,-1.5895
1.73444e+09,-11.3508,-3.99625,-1.58462
1.73444e+09,-11.3263,-3.99628,-1.57968
1.73444e+09,-11.3018,-3.99631,-1.57472
1.73444e+09,-11.2773,-3.99634,-1.56976
1.73444e+09,-11.2528,-3.99637,-1.56478
1.73444e+09,-11.2284,-3.9964,-1.55974
1.73444e+09,-11.2039,-3.99644,-1.5547
1.73444e+09,-11.1794,-3.99648,-1.54963
1.73444e+09,-11.1549,-3.99651,-1.54456
1.73444e+09,-11.1305,-3.99655,-1.53943
1.73444e+09,-11.106,-3.9966,-1.53429
1.73444e+09,-11.0816,-3.99664,-1.52912
1.73444e+09,-11.0571,-3.99668,-1.52396
1.73444e+09,-11.0327,-3.99673,-1.51873
1.73444e+09,-11.0083,-3.99678,-1.51349
1.73444e+09,-10.9838,-3.99683,-1.50823
1.73444e+09,-10.9594,-3.99688,-1.50297
1.73444e+09,-10.935,-3.99693,-1.49765
1.73444e+09,-10.9106,-3.99699,-1.49231
1.73444e+09,-10.8862,-3.99704,-1.48696
1.73444e+09,-10.8618,-3.9971,-1.4816
1.73444e+09,-10.8374,-3.99716,-1.47619
1.73444e+09,-10.813,-3.99722,-1.47076
1.73444e+09,-10.7886,-3.99728,-1.4653
1.73444e+09,-10.7642,-3.99735,-1.45985
1.73444e+09,-10.7398,-3.99742,-1.45435
1.73444e+09,-10.7154,-3.99749,-1.44882
1.73444e+09,-10.6911,-3.99756,-1.44327
1.73444e+09,-10.6667,-3.99763,-1.43772
1.73444e+09,-10.6424,-3.9977,-1.43213
1.73444e+09,-10.618,-3.99778,-1.42651
1.73444e+09,-10.5937,-3.99786,-1.42087
1.73444e+09,-10.5693,-3.99793,-1.41522
1.73444e+09,-10.545,-3.99802,-1.40954
1.73444e+09,-10.5207,-3.9981,-1.40382
1.73444e+09,-10.4963,-3.99819,-1.39809
1.73444e+09,-10.472,-3.99827,-1.39234
1.73444e+09,-10.4477,-3.99836,-1.38658
1.73444e+09,-10.4234,-3.99845,-1.38076
1.73444e+09,-10.3991,-3.99855,-1.37493
1.73444e+09,-10.3748,-3.99864,-1.36909
1.73444e+09,-10.3505,-3.99874,-1.36324
1.73444e+09,-10.3262,-3.99884,-1.35733
1.73444e+09,-10.302,-3.99894,-1.35142
1.73444e+09,-10.2777,-3.99904,-1.34548
1.73444e+09,-10.2534,-3.99914,-1.33954
1.73444e+09,-10.2291,-3.99925,-1.33354
1.73444e+09,-10.2049,-3.99936,-1.32753
1.73444e+09,-10.1806,-3.99947,-1.32151
1.73444e+09,-10.1564,-3.99958,-1.31547
1.73444e+09,-10.1322,-3.9997,-1.30939
1.73444e+09,-10.1079,-3.99981,-1.30329
1.73444e+09,-10.0837,-3.99993,-1.29717
1.73444e+09,-10.0595,-4.00005,-1.29105
1.73444e+09,-10.0352,-4.00018,-1.28488
1.73444e+09,-10.011,-4.0003,-1.27869
1.73444e+09,-9.98683,-4.00043,-1.27248
1.73444e+09,-9.96263,-4.00055,-1.26626
1.73444e+09,-9.93844,-4.00069,-1.26001
1.73444e+09,-9.91425,-4.00082,-1.25373
1.73444e+09,-9.89006,-4.00095,-1.24744
1.73444e+09,-9.86589,-4.00109,-1.24113
1.73444e+09,-9.84171,-4.00123,-1.2348
1.73444e+09,-9.81755,-4.00137,-1.22843
1.73444e+09,-9.79339,-4.00151,-1.22206
1.73444e+09,-9.76923,-4.00166,-1.21566
1.73444e+09,-9.74508,-4.00181,-1.20925
1.73444e+09,-9.72094,-4.00196,-1.20279
1.73444e+09,-9.6968,-4.00211,-1.19633
1.73444e+09,-9.67267,-4.00226,-1.18985
1.73444e+09,-9.64854,-4.00242,-1.18335
1.73444e+09,-9.62442,-4.00258,-1.17682
1.73444e+09,-9.60031,-4.00274,-1.17027
1.73444e+09,-9.5762,-4.0029,-1.1637
1.73444e+09,-9.55209,-4.00306,-1.15713
1.73444e+09,-9.52799,-4.00323,-1.15051
1.73444e+09,-9.5039,-4.0034,-1.14388
1.73444e+09,-9.47981,-4.00357,-1.13723
1.73444e+09,-9.45572,-4.00375,-1.13058
1.73444e+09,-9.43165,-4.00392,-1.12388
1.73444e+09,-9.40758,-4.0041,-1.11717
1.73444e+09,-9.38351,-4.00428,-1.11044
1.73444e+09,-9.35945,-4.00446,-1.1037
1.73444e+09,-9.33539,-4.00465,-1.09693
1.73444e+09,-9.31135,-4.00483,-1.09014
1.73444e+09,-9.2873,-4.00502,-1.08333
1.73444e+09,-9.26326,-4.00521,-1.07652
1.73444e+09,-9.23923,-4.0054,-1.06967
1.73444e+09,-9.2152,-4.0056,-1.0628
1.73444e+09,-9.19118,-4.0058,-1.05592
1.73444e+09,-9.16716,-4.006,-1.04903
1.73444e+09,-9.14315,-4.0062,-1.04211
1.73444e+09,-9.11914,-4.0064,-1.03516
1.73444e+09,-9.09514,-4.00661,-1.02821
1.73444e+09,-9.07115,-4.00681,-1.02123
1.73444e+09,-9.04716,-4.00702,-1.01424
1.73444e+09,-9.02317,-4.00724,-1.00723
1.73444e+09,-8.99919,-4.00745,-1.0002
1.73444e+09,-8.97521,-4.00766,-0.993156
1.73444e+09,-8.95124,-4.00788,-0.986097
1.73444e+09,-8.92728,-4.0081,-0.979008
1.73444e+09,-8.90332,-4.00833,-0.971912
1.73444e+09,-8.87936,-4.00855,-0.964794
1.73444e+09,-8.85542,-4.00878,-0.957664
1.73444e+09,-8.83147,-4.00901,-0.950506
1.73444e+09,-8.80753,-4.00924,-0.943342
1.73444e+09,-8.78359,-4.00947,-0.936159
